,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,nio,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,Nio Inc - ADR,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,9.27,,+0.53,+6.06%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"107,228M",-,1.93,,,
,,,,,,70 Months
,,,,,,
,,,,,,
,nio,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Aug 8, 2019",3.13,3.26,3.11,3.17,"20,999,758"
,"Aug 9, 2019",3.10,3.18,3.10,3.13,"10,609,998"
,"Aug 12, 2019",3.05,3.11,2.96,3.05,"14,058,622"
,"Aug 13, 2019",3.00,3.20,3.00,3.15,"18,607,576"
,"Aug 14, 2019",3.08,3.08,2.88,2.90,"28,205,946"
,"Aug 15, 2019",2.99,2.99,2.77,2.82,"15,735,986"
,"Aug 16, 2019",2.89,3.01,2.86,2.95,"15,884,219"
,"Aug 19, 2019",3.00,3.10,3.00,3.00,"13,657,084"
,"Aug 20, 2019",3.06,3.21,3.00,3.16,"16,703,065"
,"Aug 21, 2019",3.23,3.27,3.02,3.05,"21,524,358"
,"Aug 22, 2019",3.06,3.09,3.01,3.02,"12,427,830"
,"Aug 23, 2019",2.97,3.04,2.89,2.92,"13,649,638"
,"Aug 26, 2019",2.95,2.95,2.83,2.90,"14,138,291"
,"Aug 27, 2019",2.92,3.00,2.83,2.91,"20,416,708"
,"Aug 28, 2019",2.90,2.92,2.83,2.84,"10,491,777"
,"Aug 29, 2019",2.91,2.93,2.85,2.85,"12,377,439"
,"Aug 30, 2019",2.90,2.91,2.84,2.86,"8,162,524"
,"Sep 3, 2019",2.82,2.83,2.58,2.60,"26,901,784"
,"Sep 4, 2019",2.70,2.75,2.64,2.75,"15,213,978"
,"Sep 5, 2019",2.81,3.00,2.80,2.95,"23,269,977"
,"Sep 6, 2019",2.99,3.00,2.87,2.98,"14,509,344"
,"Sep 9, 2019",3.00,3.14,2.93,3.14,"17,386,277"
,"Sep 10, 2019",3.13,3.33,3.07,3.32,"20,848,752"
,"Sep 11, 2019",3.28,3.33,3.16,3.27,"13,619,898"
,"Sep 12, 2019",3.24,3.27,3.10,3.19,"10,957,834"
